G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,E,InnOuts,seasons,latestAge,weight,height,lastG,lastAB,lastR,lastH,last2B,last3B,lastHR,lastRBI,lastSB,lastCS,lastBB
104,348,48,98,15,2,11,45,3,3,23,2,2362,8,33,185,70,124,408,62,109,16,1,63,0,1,24
109,371,52,105,17,2,11,46,3,3,23,2,2504,9,34,185,70,142,557,78,165,32,3,59,8,4,22
111,378,51,106,17,2,11,48,3,3,23,3,2564,10,35,185,70,131,434,48,111,21,5,58,5,2,22
112,374,50,104,17,2,10,47,4,2,23,3,2533,11,36,185,70,127,338,41,82,10,2,41,8,1,22
104,346,46,96,16,2,9,43,3,2,21,2,2338,12,38,185,70,20,35,3,12,4,1,1,1,0,1
36,111,17,25,5,1,3,9,1,1,8,2,834,2,25,205,73,16,36,4,8,2,0,3,1,0,0
26,77,11,17,3,1,2,6,0,1,5,1,577,3,26,205,73,7,8,1,2,0,0,0,0,0,1
79,273,36,73,18,1,1,25,7,6,27,2,1915,2,24,195,72,141,488,61,124,33,3,45,12,11,48
75,252,33,64,14,2,3,22,5,5,22,1,1784,3,25,195,72,67,212,27,46,6,5,17,2,3,11
59,193,25,49,10,2,2,16,4,3,16,1,1346,4,26,195,72,13,17,2,3,0,1,0,0,0,0
67,212,26,54,12,2,2,19,3,3,16,1,1428,5,27,195,72,97,286,30,77,18,1,31,2,3,18
77,203,23,52,11,2,1,17,3,3,16,1,1340,6,28,195,72,126,161,9,39,6,2,9,0,3,14
68,177,20,45,9,1,1,15,2,3,14,1,1169,7,29,195,72,14,21,1,3,0,0,3,1,0,2
60,156,17,39,8,1,1,13,2,2,12,1,1023,8,30,195,72,7,7,0,0,0,0,0,0,0,0
31,65,6,14,3,0,0,3,0,0,6,1,536,3,24,190,74,68,165,13,39,6,1,9,1,0,16
42,100,8,22,5,0,0,7,0,0,7,3,812,4,25,190,74,75,207,15,44,11,0,21,0,1,12
52,133,10,29,5,0,0,9,0,0,11,3,1059,5,26,190,74,92,265,20,60,9,2,16,1,0,28
60,159,11,35,6,0,1,11,0,0,15,4,1268,6,27,190,74,102,287,16,64,11,0,23,0,0,34
62,161,11,36,6,0,1,12,0,0,16,4,1297,7,28,190,74,72,175,12,44,8,1,16,0,0,24
65,175,12,41,7,0,1,14,0,0,17,4,1394,8,29,190,74,91,270,20,72,15,2,31,0,1,23
60,158,11,36,7,0,1,13,0,0,15,3,1252,9,30,190,74,15,25,2,4,0,0,2,0,0,1
60,154,11,36,6,0,1,13,0,0,15,3,1198,10,31,190,74,66,119,10,31,3,0,12,0,1,16
59,149,11,34,6,0,1,12,0,0,15,3,1143,11,32,190,74,50,103,11,18,3,0,7,0,0,11
